train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,eval/mean_reward,eval/mean_ep_length
,,,,500.0,1288192,,479,-667.4651865699999,2564,,517,,
,,,,500.0,1288192,,479,-667.4651865699999,2568,,517,,
,,,,500.0,1288192,,479,-667.4651865699999,2572,,517,,
167871,1722.0673828125,243.70150756835938,0.8415130376815796,500.0,1296192,-0.010475289076566696,492,-660.9797939699998,2576,0.0003,519,,
,,,,500.0,1296192,,492,-660.9797939699998,2580,,519,,
,,,,500.0,1296192,,492,-660.9797939699998,2584,,519,,
,,,,500.0,1296192,,492,-660.9797939699998,2588,,519,,
168121,1712.1591796875,230.90086364746094,0.844364583492279,,1300192,0.017376869916915894,,,,0.0003,,-584.665481,500.0
168371,1713.0576171875,236.70143127441406,0.8333300352096558,500.0,1304192,-0.0009153196588158607,510,-668.6109869200002,2592,0.0003,517,,
,,,,500.0,1304192,,510,-668.6109869200002,2596,,517,,
,,,,500.0,1304192,,510,-668.6109869200002,2600,,517,,
,,,,500.0,1304192,,510,-668.6109869200002,2604,,517,,
168871,1673.37451171875,261.97265625,0.8257559537887573,500.0,1312192,0.00018589734099805355,524,-641.6676946200001,2608,0.0003,518,,
,,,,500.0,1312192,,524,-641.6676946200001,2612,,518,,
,,,,500.0,1312192,,524,-641.6676946200001,2616,,518,,
,,,,500.0,1312192,,524,-641.6676946200001,2620,,518,,
169371,1638.085205078125,236.064208984375,0.8113494515419006,,1320192,0.008828532882034779,,,,0.0003,,-356.2022194,500.0
,,,,500.0,1320192,,542,-626.4215590700001,2624,,515,,
,,,,500.0,1320192,,542,-626.4215590700001,2628,,515,,
,,,,500.0,1320192,,542,-626.4215590700001,2632,,515,,
,,,,500.0,1320192,,542,-626.4215590700001,2636,,515,,
169871,1606.323974609375,241.88665771484375,0.7998708486557007,500.0,1328192,0.0035618157126009464,556,-620.0015294799999,2640,0.0003,517,,
,,,,500.0,1328192,,556,-620.0015294799999,2644,,517,,
,,,,500.0,1328192,,556,-620.0015294799999,2648,,517,,
,,,,500.0,1328192,,556,-620.0015294799999,2652,,517,,
170371,1580.247314453125,182.5111083984375,0.7892052531242371,500.0,1336192,0.008326618000864983,569,-614.0584674300001,2656,0.0003,519,,
,,,,500.0,1336192,,569,-614.0584674300001,2660,,519,,
,,,,500.0,1336192,,569,-614.0584674300001,2664,,519,,
,,,,500.0,1336192,,569,-614.0584674300001,2668,,519,,
170621,1559.397216796875,204.7974853515625,0.7833161950111389,,1340192,-0.026869358494877815,,,,0.0003,,-439.99316259999995,500.0
